Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFC,EQ,16-May-16,1166,1164.4,1191,1160.5,1186.65,1186.45,1171.7,2309079,2705542976,86899,1626066,70.42
HDFC,EQ,17-May-16,1186.45,1197.5,1230,1191.25,1215,1217.85,1217.36,3760375,4577723524,145858,2752278,73.19
HDFC,EQ,18-May-16,1217.85,1205.25,1214.3,1196.4,1208,1208.2,1205.94,4337073,5230260518,100047,2936222,67.7
HDFC,EQ,19-May-16,1208.2,1208.5,1208.55,1173.3,1175,1175.85,1184.31,2454891,2907362068,133917,1588979,64.73
HDFC,EQ,20-May-16,1175.85,1178.1,1193.8,1172.15,1180,1179.55,1185.68,3001619,3558950718,98201,2002684,66.72
HDFC,EQ,23-May-16,1179.55,1184,1187.25,1158.4,1162.15,1160.25,1166.57,1882187,2195696545,59311,1267625,67.35
HDFC,EQ,24-May-16,1160.25,1163.9,1177.9,1159.15,1175,1172.75,1167.53,1650889,1927462403,93151,941439,57.03
HDFC,EQ,25-May-16,1172.75,1186,1212.45,1182.2,1208,1207.05,1203.46,2675175,3219477712,106301,1769474,66.14
HDFC,EQ,26-May-16,1207.05,1210.4,1235,1191.7,1229.25,1228.25,1216.39,2940863,3577226131,119948,1667051,56.69
HDFC,EQ,27-May-16,1228.25,1230,1268.4,1218.35,1250,1255.55,1245.21,3246784,4042942641,84204,2079441,64.05
HDFC,EQ,30-May-16,1255.55,1255.2,1259,1212.35,1235,1233.95,1232.14,2889133,3559819999,107205,1787400,61.87
HDFC,EQ,31-May-16,1233.95,1235.05,1247.8,1222.35,1242.15,1237.7,1235.37,5155776,6369295967,89939,3922777,76.09
HDFC,EQ,1-Jun-16,1237.7,1242.15,1248.35,1230,1242.65,1243.25,1240.56,2279936,2828387550,70333,1546879,67.85
HDFC,EQ,2-Jun-16,1243.25,1236.05,1263.5,1232.55,1258.45,1260.55,1245.27,1671551,2081536113,90166,1057879,63.29
HDFC,EQ,3-Jun-16,1260.55,1266,1268.8,1246,1256.25,1254.9,1255.27,1801598,2261490781,61484,1197846,66.49
HDFC,EQ,6-Jun-16,1254.9,1261,1264.95,1247.7,1256,1251.65,1253.21,1879964,2355988760,61962,1323407,70.4
HDFC,EQ,7-Jun-16,1251.65,1256.5,1260,1242.8,1250,1251.3,1250.53,2976354,3722033358,100145,2195403,73.76
HDFC,EQ,8-Jun-16,1251.3,1252.2,1267,1247.6,1255,1262.5,1261.93,2594901,3274581800,75496,2038089,78.54
HDFC,EQ,9-Jun-16,1262.5,1257,1258,1233.35,1240,1237.5,1241.7,2153365,2673824521,77338,1607356,74.64
HDFC,EQ,10-Jun-16,1237.5,1233,1251.7,1228,1231,1230.4,1234.85,2144364,2647961616,96555,1554708,72.5
HDFC,EQ,13-Jun-16,1230.4,1218.05,1225,1201.2,1208.1,1205.35,1209.17,4888040,5910481479,96393,3511920,71.85
HDFC,EQ,14-Jun-16,1205.35,1208.3,1209.4,1189,1199.8,1198.2,1194.57,2396987,2863369253,94408,1737590,72.49
HDFC,EQ,15-Jun-16,1198.2,1206.2,1209.4,1189.25,1205,1205.15,1198.55,2921199,3501207251,66597,2166267,74.16
HDFC,EQ,16-Jun-16,1205.15,1198,1205.8,1182.15,1200.7,1200.95,1194.66,1840887,2199230373,108127,1063519,57.77
HDFC,EQ,17-Jun-16,1200.95,1215,1235.9,1210.35,1223,1227.3,1223.83,2684017,3284774379,111231,1627067,60.62
HDFC,EQ,20-Jun-16,1227.3,1212,1234,1206,1230.15,1227.55,1225.12,2128249,2607357335,60941,1325332,62.27
HDFC,EQ,21-Jun-16,1227.55,1233,1242.4,1220,1235.6,1238.15,1233.66,2277146,2809229016,52366,1713113,75.23
HDFC,EQ,22-Jun-16,1238.15,1234,1241.8,1225,1237.5,1238.35,1233.51,2568936,3168798373,72434,1968465,76.63
HDFC,EQ,23-Jun-16,1238.35,1237.9,1249.45,1228.2,1243.05,1245.5,1239.1,1323818,1640339024,55418,889557,67.2
HDFC,EQ,24-Jun-16,1245.5,1210,1225.9,1201,1225,1222.75,1213.95,2579159,3130957510,54945,1579827,61.25
HDFC,EQ,27-Jun-16,1222.75,1211.1,1229.75,1210.55,1217,1214.6,1220.71,1699797,2074955299,53778,1111703,65.4
HDFC,EQ,28-Jun-16,1214.6,1211.25,1231.65,1211.25,1229,1228.9,1223.4,1264518,1547015923,76645,712798,56.37
HDFC,EQ,29-Jun-16,1228.9,1233.05,1251,1231.05,1248,1248.55,1243.05,1880015,2336944805,77204,1282782,68.23
HDFC,EQ,30-Jun-16,1248.55,1260,1266.25,1243.05,1252.6,1253.6,1254.52,4774341,5989484793,105864,3389347,70.99
HDFC,EQ,1-Jul-16,1253.6,1253.5,1262.8,1237.7,1243,1242.35,1250.14,2112124,2640440262,67497,1415232,67.01
HDFC,EQ,4-Jul-16,1242.35,1252,1266.1,1247,1259.6,1256.25,1257.68,1125696,1415762484,49123,699228,62.12
HDFC,EQ,5-Jul-16,1256.25,1257.5,1263.45,1245.7,1259.45,1260.7,1255.49,1261841,1584228831,33726,907038,71.88
HDFC,EQ,7-Jul-16,1260.7,1262,1295.4,1253.4,1293,1290.55,1280.24,2760950,3534674648,144405,1922737,69.64
HDFC,EQ,8-Jul-16,1290.55,1290,1301.7,1272.7,1287.95,1286.9,1283.95,2361470,3032009114,65398,1860459,78.78
HDFC,EQ,11-Jul-16,1286.9,1300,1322,1298.05,1322,1314.1,1310.68,1873706,2455828419,87539,1330112,70.99
HDFC,EQ,12-Jul-16,1314.1,1320.5,1337.8,1319.1,1332.45,1333.75,1327.68,1743750,2315144580,53245,1203574,69.02
HDFC,EQ,13-Jul-16,1333.75,1333,1337.75,1316.15,1325.8,1330.45,1328.11,3059127,4062861255,108519,2325277,76.01
HDFC,EQ,14-Jul-16,1330.45,1328.4,1340.2,1318.05,1337.65,1336.95,1326.82,1416877,1879944639,54450,987611,69.7
HDFC,EQ,15-Jul-16,1336.95,1325.05,1370,1320,1359.85,1364.1,1348.4,2180001,2939512866,76115,1333287,61.16
HDFC,EQ,18-Jul-16,1364.1,1364,1386.4,1338,1344.55,1346.35,1356.83,2760273,3745213857,90095,1858300,67.32
HDFC,EQ,19-Jul-16,1346.35,1346.35,1355.95,1331.25,1339.1,1338.55,1338.78,2534832,3393587649,91579,1857622,73.28
HDFC,EQ,20-Jul-16,1338.55,1339.9,1345.8,1325.3,1338,1334.45,1332.83,2673186,3562901926,68221,2089307,78.16
HDFC,EQ,21-Jul-16,1334.45,1335.95,1345,1328.15,1328.15,1332.9,1336.97,1524359,2038025484,58763,1043193,68.43
HDFC,EQ,22-Jul-16,1332.9,1333.95,1361.15,1326.7,1361.1,1357,1343.6,1523892,2047495709,58991,1038237,68.13
HDFC,EQ,25-Jul-16,1357,1355.5,1387,1350.4,1382,1382,1373.17,2693450,3698570476,61386,1884547,69.97
HDFC,EQ,26-Jul-16,1382,1383.7,1385,1362.2,1368.8,1367.45,1374,2852587,3919453338,89512,2385284,83.62
HDFC,EQ,27-Jul-16,1367.45,1376.9,1398.1,1368.55,1386.25,1387.7,1383.22,3451819,4774616331,127074,1868719,54.14
HDFC,EQ,28-Jul-16,1387.7,1390.3,1410,1374,1406.7,1402.15,1390.07,5473387,7608410903,91935,4280250,78.2
HDFC,EQ,29-Jul-16,1402.15,1407.95,1407.95,1373,1375,1374.5,1378.45,3347082,4613796054,104810,2659310,79.45
HDFC,EQ,1-Aug-16,1374.5,1385,1397.45,1368,1376.55,1374.3,1382.3,3040038,4202252367,85726,2302799,75.75
HDFC,EQ,2-Aug-16,1374.3,1371.8,1373.35,1334.05,1338,1342.15,1349.3,3509100,4734831773,143827,2751396,78.41
HDFC,EQ,3-Aug-16,1342.15,1342.15,1342.15,1316.4,1325.95,1325.45,1324.09,3806460,5040112592,96941,2993982,78.66
HDFC,EQ,4-Aug-16,1325.45,1331.3,1333.7,1313.1,1320.55,1320.15,1319.53,2223224,2933616265,92437,1631016,73.36
HDFC,EQ,5-Aug-16,1320.15,1330,1350,1322.55,1347.9,1342.1,1335.6,2210679,2952591037,78058,1740912,78.75
HDFC,EQ,8-Aug-16,1342.1,1350,1370.6,1345.6,1363.35,1367.45,1358.23,2196658,2983569379,63854,1581696,72
HDFC,EQ,9-Aug-16,1367.45,1375,1376,1331.5,1342.05,1343,1347.21,3160963,4258481484,119581,2261134,71.53
HDFC,EQ,10-Aug-16,1343,1343.35,1349,1325.35,1337,1337.15,1333.98,2397117,3197711310,59048,1925059,80.31
HDFC,EQ,11-Aug-16,1337.15,1339,1353.1,1331,1348.05,1348.45,1340.57,2774737,3719737918,78202,2179605,78.55
HDFC,EQ,12-Aug-16,1348.45,1354,1383.8,1352.55,1375.75,1382.15,1371.64,4666213,6400377199,111631,3911639,83.83
HDFC,EQ,16-Aug-16,1382.15,1378,1385,1348.1,1361.7,1358.55,1363.1,3860834,5262721284,147390,3243242,84
HDFC,EQ,17-Aug-16,1358.55,1350.5,1372.45,1350.5,1364.85,1366.9,1365.11,2627238,3586458582,92704,2121444,80.75
HDFC,EQ,18-Aug-16,1366.9,1369.5,1377.75,1363.75,1375,1374.3,1372.11,2889535,3964764910,100143,2154114,74.55
HDFC,EQ,19-Aug-16,1374.3,1375,1376.15,1358.8,1372,1369.4,1364.85,2925379,3992712511,124907,2367131,80.92
HDFC,EQ,22-Aug-16,1369.4,1370,1380.8,1357.6,1377.5,1377.55,1374.52,2069513,2844594495,83671,1685144,81.43
HDFC,EQ,23-Aug-16,1377.55,1373.65,1380,1362.25,1379.05,1375.15,1369.05,1766716,2418729566,68761,1377953,78
HDFC,EQ,24-Aug-16,1375.15,1386.3,1386.8,1366.25,1383.7,1382.85,1374.27,1692693,2326209329,72856,1248431,73.75
HDFC,EQ,25-Aug-16,1382.85,1380.65,1390,1352.3,1355.3,1357.5,1367.03,1846727,2524527789,50002,1203576,65.17
HDFC,EQ,26-Aug-16,1357.5,1361.5,1371.15,1349,1362.55,1366.35,1357.11,1478521,2006512784,71065,986327,66.71
HDFC,EQ,29-Aug-16,1366.35,1364.9,1379.5,1357.65,1375.7,1375.5,1373.12,1371236,1882867523,97362,1008055,73.51
HDFC,EQ,30-Aug-16,1375.5,1379.9,1394.25,1373.6,1390.5,1392.1,1385.04,2039705,2825074906,85039,1559152,76.44
HDFC,EQ,31-Aug-16,1392.1,1390.1,1414,1390,1409.85,1405.45,1402.51,5712564,8011949720,140586,4246344,74.33
HDFC,EQ,1-Sep-16,1405.45,1412,1430,1405.3,1425.9,1424.75,1419.4,2336511,3316436353,109988,1714755,73.39
HDFC,EQ,2-Sep-16,1424.75,1426.5,1441.95,1421.05,1439.35,1439.15,1436.32,2435712,3498456225,91643,1659031,68.11
HDFC,EQ,6-Sep-16,1439.15,1453,1462,1442,1460,1458.05,1452.15,2249067,3265981855,62412,1772356,78.8
HDFC,EQ,7-Sep-16,1458.05,1464,1464,1416.25,1433.25,1427.15,1430.79,2282112,3265228488,81247,1699166,74.46
HDFC,EQ,8-Sep-16,1427.15,1432.75,1442.8,1428.1,1437,1437.8,1435.55,1135659,1630291158,88538,811200,71.43
HDFC,EQ,9-Sep-16,1437.8,1442,1442,1396.55,1412.55,1410.65,1407.94,3028457,4263889019,124538,2228142,73.57
HDFC,EQ,12-Sep-16,1410.65,1390,1410,1373.7,1398,1399.05,1395.48,2322859,3241503830,69127,1741713,74.98
HDFC,EQ,14-Sep-16,1399.05,1391.05,1397.9,1378.5,1395,1392.2,1387.44,2442783,3389223452,95800,1869692,76.54
HDFC,EQ,15-Sep-16,1392.2,1393.1,1412.5,1390.4,1408.55,1410.05,1400.75,1519406,2128314433,91194,1080120,71.09
HDFC,EQ,16-Sep-16,1410.05,1416.7,1417,1393,1394,1397.35,1402.45,5047304,7078589739,103352,4010829,79.46
HDFC,EQ,19-Sep-16,1397.35,1399.9,1401,1386,1394.7,1392.8,1391.37,1515698,2108904007,58808,1191347,78.6
HDFC,EQ,20-Sep-16,1392.8,1390,1396,1382.25,1394.9,1393.1,1389.6,2123466,2950759846,54923,1738031,81.85
HDFC,EQ,21-Sep-16,1393.1,1392.35,1406,1388.55,1392.55,1392.35,1397,2262794,3161115046,73954,1830041,80.88
HDFC,EQ,22-Sep-16,1392.35,1405.9,1419.4,1402,1415,1413.25,1411.24,2777234,3919354791,100119,2272068,81.81
HDFC,EQ,23-Sep-16,1413.25,1418,1427.2,1412,1424,1425.1,1420.99,1369990,1946746825,42623,1009877,73.71
HDFC,EQ,26-Sep-16,1425.1,1417.3,1424.2,1403.1,1414,1412.45,1408.8,1999367,2816716490,71354,1621686,81.11
HDFC,EQ,27-Sep-16,1412.45,1415.7,1423,1406,1420,1418.9,1416.63,1288154,1824833354,47654,936475,72.7
HDFC,EQ,28-Sep-16,1418.9,1418.1,1432,1417.15,1420.8,1423.55,1425.01,1322605,1884722873,41642,855994,64.72
HDFC,EQ,29-Sep-16,1423.55,1428.5,1432.95,1392.6,1402.15,1401.4,1405.36,3386269,4758932926,49983,2364983,69.84
HDFC,EQ,30-Sep-16,1401.4,1396.9,1399.2,1381.8,1394.95,1393.45,1389.19,2719424,3777801739,67352,2090851,76.89
HDFC,EQ,3-Oct-16,1393.45,1401,1430.2,1386,1424.3,1425.5,1412.75,1189432,1680364393,70398,701235,58.96
HDFC,EQ,4-Oct-16,1425.5,1423.25,1435.2,1416.1,1432,1432.4,1426.49,2188072,3121266663,56442,1689229,77.2
HDFC,EQ,5-Oct-16,1432.4,1435,1437.35,1414.35,1423,1423.15,1422.71,1127576,1604214370,61142,614336,54.48
HDFC,EQ,6-Oct-16,1423.15,1425.2,1433.9,1418.2,1423,1426,1425.66,1367425,1949487594,59356,1025389,74.99
HDFC,EQ,7-Oct-16,1426,1426,1426,1398.4,1400.1,1403.7,1406.05,1275355,1793209555,57784,871099,68.3
HDFC,EQ,10-Oct-16,1403.7,1408,1412,1386.15,1394.5,1391.45,1392.25,966179,1345161917,41691,659564,68.27
HDFC,EQ,13-Oct-16,1391.45,1385,1400,1335.05,1336.5,1338.9,1349.81,3233878,4365111680,173013,2417828,74.77
HDFC,EQ,14-Oct-16,1338.9,1340.8,1342,1312.9,1320,1316.05,1324.12,3014689,3991821788,118975,2484602,82.42
HDFC,EQ,17-Oct-16,1316.05,1321.95,1322.95,1297.15,1304,1301.95,1305.13,2134599,2785928354,84842,1618337,75.81
HDFC,EQ,18-Oct-16,1301.95,1307,1357.7,1306.55,1355,1355.25,1339.93,2217709,2971564118,84213,1606292,72.43
HDFC,EQ,19-Oct-16,1355.25,1358.9,1359.25,1336.15,1339.65,1342.15,1343.34,1840483,2472402344,70966,1139562,61.92
HDFC,EQ,20-Oct-16,1342.15,1348,1368,1345.3,1360,1359.95,1360.47,1708024,2323713131,65453,1149633,67.31
